[Wed May 03 16:00:23.515904 2017] [:error] [pid 1736:tid 832] [client 127.0.0.1:61181] PHP Warning:  Cannot modify header information - headers already sent in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:01:46.474493 2017] [:error] [pid 1736:tid 768] [client 127.0.0.1:61317] PHP Deprecated:  Automatically populating $HTTP_RAW_POST_DATA is deprecated and will be removed in a future version. To avoid this warning set 'always_populate_raw_post_data' to '-1' in php.ini and use the php://input stream instead. in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:01:46.474493 2017] [:error] [pid 1736:tid 768] [client 127.0.0.1:61317] PHP Warning:  Cannot modify header information - headers already sent in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:02:04.806158 2017] [:error] [pid 1736:tid 768] [client 127.0.0.1:61358] PHP Deprecated:  Automatically populating $HTTP_RAW_POST_DATA is deprecated and will be removed in a future version. To avoid this warning set 'always_populate_raw_post_data' to '-1' in php.ini and use the php://input stream instead. in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:02:04.806158 2017] [:error] [pid 1736:tid 768] [client 127.0.0.1:61358] PHP Warning:  Cannot modify header information - headers already sent in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:03:08.411877 2017] [:error] [pid 1736:tid 768] [client 127.0.0.1:61460] PHP Deprecated:  Automatically populating $HTTP_RAW_POST_DATA is deprecated and will be removed in a future version. To avoid this warning set 'always_populate_raw_post_data' to '-1' in php.ini and use the php://input stream instead. in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:03:08.411877 2017] [:error] [pid 1736:tid 768] [client 127.0.0.1:61460] PHP Warning:  Cannot modify header information - headers already sent in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:04:33.576907 2017] [:error] [pid 1736:tid 744] [client 127.0.0.1:61605] PHP Deprecated:  Automatically populating $HTTP_RAW_POST_DATA is deprecated and will be removed in a future version. To avoid this warning set 'always_populate_raw_post_data' to '-1' in php.ini and use the php://input stream instead. in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:04:33.576907 2017] [:error] [pid 1736:tid 744] [client 127.0.0.1:61605] PHP Warning:  Cannot modify header information - headers already sent in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:08:15.503283 2017] [:error] [pid 1736:tid 744] [client 127.0.0.1:61953] PHP Deprecated:  Automatically populating $HTTP_RAW_POST_DATA is deprecated and will be removed in a future version. To avoid this warning set 'always_populate_raw_post_data' to '-1' in php.ini and use the php://input stream instead. in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:08:15.503283 2017] [:error] [pid 1736:tid 744] [client 127.0.0.1:61953] PHP Warning:  Cannot modify header information - headers already sent in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:09:29.348049 2017] [:error] [pid 1736:tid 808] [client 127.0.0.1:62064] PHP Deprecated:  Automatically populating $HTTP_RAW_POST_DATA is deprecated and will be removed in a future version. To avoid this warning set 'always_populate_raw_post_data' to '-1' in php.ini and use the php://input stream instead. in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:09:29.348049 2017] [:error] [pid 1736:tid 808] [client 127.0.0.1:62064] PHP Warning:  Cannot modify header information - headers already sent in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:10:21.990575 2017] [:error] [pid 1736:tid 824] [client 127.0.0.1:62158] PHP Deprecated:  Automatically populating $HTTP_RAW_POST_DATA is deprecated and will be removed in a future version. To avoid this warning set 'always_populate_raw_post_data' to '-1' in php.ini and use the php://input stream instead. in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
[Wed May 03 16:10:21.990575 2017] [:error] [pid 1736:tid 824] [client 127.0.0.1:62158] PHP Warning:  Cannot modify header information - headers already sent in Unknown on line 0, referer: http://geolicense.dev:8080/auth/login
